timestamp,twelvedata,finage,yahoo_finance
1631384890,41.07000,41.07,41.28
1631384957,41.07000,41.07,41.28
1631385022,41.07000,41.07,41.28
1631385086,41.07000,41.07,41.28
1631385150,41.07000,41.07,41.28
1631385214,41.07000,41.07,41.28
1631385279,41.07000,41.07,41.28
1631385343,41.07000,41.07,41.28
1631385407,41.07000,41.07,41.28
1631385471,41.07000,41.07,41.28
1631385535,41.07000,41.07,41.28
1631385599,41.07000,41.07,41.28
1631385664,41.07000,41.07,41.28
1631385728,41.07000,41.07,41.28
1631385792,41.07000,41.07,41.28
1631385856,41.07000,41.07,41.28
1631385920,41.07000,41.07,41.28
1631385984,41.07000,41.07,41.28
1631386048,41.07000,41.07,41.28
1631386112,41.07000,41.07,41.28
1631386176,41.07000,41.07,41.28
1631386240,41.07000,41.07,41.28
1631386305,41.07000,41.07,41.28
1631386369,41.07000,41.07,41.28
1631386433,41.07000,41.07,41.28
1631386497,41.07000,41.07,41.28
1631386561,41.07000,41.07,41.28
1631386625,41.07000,41.07,41.28
1631386690,41.07000,41.07,41.28
1631386754,41.07000,41.07,41.28
1631386818,41.07000,41.07,41.28
1631386882,41.07000,41.07,41.28
1631386946,41.07000,41.07,41.28
1631387010,41.07000,41.07,41.28
1631387074,41.07000,41.07,41.28
1631387138,41.07000,41.07,41.28
1631387203,41.07000,41.07,41.28
1631387268,41.07000,41.07,41.28
1631387332,41.07000,41.07,41.28
1631387396,41.07000,41.07,41.28
1631387460,41.07000,41.07,41.28
1631387524,41.07000,41.07,41.28
1631387588,41.07000,41.07,41.28
1631387653,41.07000,41.07,41.28
1631387717,41.07000,41.07,41.28
1631387782,41.07000,41.07,41.28
1631387846,41.07000,41.07,41.28
1631387910,41.07000,41.07,41.28
1631387975,41.07000,41.07,41.28
1631388041,41.07000,41.07,41.28
1631388106,41.07000,41.07,41.28
1631388171,41.07000,41.07,41.28
1631388235,41.07000,41.07,41.28
1631388300,41.07000,41.07,41.28
1631388364,41.07000,41.07,41.28
1631388429,41.07000,41.07,41.28
1631388493,41.07000,41.07,41.28
1631388557,41.07000,41.07,41.28
1631388622,41.07000,41.07,41.28
1631388686,41.07000,41.07,41.28
1631388750,41.07000,41.07,41.28
1631388814,41.07000,41.07,41.28
1631388879,41.07000,41.07,41.28
1631388943,41.07000,41.07,41.28
1631389007,41.07000,41.07,41.28
1631389072,41.07000,41.07,41.28
1631389136,41.07000,41.07,41.28
1631389201,41.07000,41.07,41.28
1631389265,41.07000,41.07,41.28
1631389330,41.07000,41.07,41.28
1631389394,41.07000,41.07,41.28
1631389458,41.07000,41.07,41.28
1631389522,41.07000,41.07,41.28
1631389587,41.07000,41.07,41.28
1631389651,41.07000,41.07,41.28
1631389716,41.07000,41.07,41.28
1631389780,41.07000,41.07,41.28
1631389844,41.07000,41.07,41.28
1631389908,41.07000,41.07,41.28
1631389973,41.07000,41.07,41.28
1631390037,41.07000,41.07,41.28
1631390101,41.07000,41.07,41.28
1631390166,41.07000,41.07,41.28
1631390230,41.07000,41.07,41.28
1631390294,41.07000,41.07,41.28
1631390359,41.07000,41.07,41.28
1631390423,41.07000,41.07,41.28
1631390488,41.07000,41.07,41.28
1631390552,41.07000,41.07,41.28
1631390616,41.07000,41.07,41.28
1631390681,41.07000,41.07,41.28
1631390745,41.07000,41.07,41.28
1631390809,41.07000,41.07,41.28
1631390873,41.07000,41.07,41.28
1631390937,41.07000,41.07,41.28
1631391001,41.07000,41.07,41.28
1631391066,41.07000,41.07,41.28
1631391130,41.07000,41.07,41.28
1631391194,41.07000,41.07,41.28
1631391259,41.07000,41.07,41.28
1631391323,41.07000,41.07,41.28
1631391387,41.07000,41.07,41.28
1631391451,41.07000,41.07,41.28
1631391515,41.07000,41.07,41.28
1631391580,41.07000,41.07,41.28
1631391645,41.07000,41.07,41.28
1631391709,41.07000,41.07,41.28
1631391773,41.07000,41.07,41.28
1631391837,41.07000,41.07,41.28
1631391901,41.07000,41.07,41.28
1631391965,41.07000,41.07,41.28
1631392029,41.07000,41.07,41.28
1631392094,41.07000,41.07,41.28
1631392165,41.07000,41.07,41.28
1631392229,41.07000,41.07,41.28
1631392293,41.07000,41.07,41.28
1631392358,41.07000,41.07,41.28
1631392422,41.07000,41.07,41.28
1631392486,41.07000,41.07,41.28
1631392551,41.07000,41.07,41.28
1631392615,41.07000,41.07,41.28
1631392679,41.07000,41.07,41.28
1631392743,41.07000,41.07,41.28
1631392809,41.07000,41.07,41.28
1631392873,41.07000,41.07,41.28
1631392937,41.07000,41.07,41.28
1631393001,41.07000,41.07,41.28
1631393066,41.07000,41.07,41.28
1631393131,41.07000,41.07,41.28
1631393200,41.07000,41.07,41.28
1631393264,41.07000,41.07,41.28
1631393329,41.07000,41.07,41.28
1631393394,41.07000,41.07,41.28
1631393458,41.07000,41.07,41.28
1631393522,41.07000,41.07,41.28
1631393587,41.07000,41.07,41.28
1631393651,41.07000,41.07,41.28
1631393715,41.07000,41.07,41.28
1631393779,41.07000,41.07,41.28
1631393843,41.07000,41.07,41.28
1631393907,41.07000,41.07,41.28
1631393973,41.07000,41.07,41.28
1631394037,41.07000,41.07,41.28
1631394101,41.07000,41.07,41.28
1631394166,41.07000,41.07,41.28
1631394230,41.07000,41.07,41.28
1631394294,41.07000,41.07,41.28
1631394359,41.07000,41.07,41.28
1631394423,41.07000,41.07,41.28
1631394489,41.07000,41.07,41.28
1631394554,41.07000,41.07,41.28
1631394623,41.07000,41.07,41.28
1631394688,41.07000,41.07,41.28
1631394752,41.07000,41.07,41.28
1631394816,41.07000,41.07,41.28
1631394880,41.07000,41.07,41.28
1631394944,41.07000,41.07,41.28
1631395009,41.07000,41.07,41.28
1631395073,41.07000,41.07,41.28
1631395137,41.07000,41.07,41.28
1631395202,41.07000,41.07,41.28
1631395272,41.07000,41.07,41.28
1631395336,41.07000,41.07,41.28
1631395401,41.07000,41.07,41.28
1631395467,41.07000,41.07,41.28
1631395531,41.07000,41.07,41.28
1631395595,41.07000,41.07,41.28
1631395659,41.07000,41.07,41.28
1631395723,41.07000,41.07,41.28
1631395787,41.07000,41.07,41.28
1631395851,41.07000,41.07,41.28
1631395915,41.07000,41.07,41.28
1631395979,41.07000,41.07,41.28
1631396044,41.07000,41.07,41.28
1631396108,41.07000,41.07,41.28
1631396172,41.07000,41.07,41.28
1631396237,41.07000,41.07,41.28
1631396302,41.07000,41.07,41.28
1631396366,41.07000,41.07,41.28
1631396431,41.07000,41.07,41.28
1631396495,41.07000,41.07,41.28
1631396559,41.07000,41.07,41.28
1631396624,41.07000,41.07,41.28
1631396688,41.07000,41.07,41.28
1631396752,41.07000,41.07,41.28
1631396817,41.07000,41.07,41.28
1631396881,41.07000,41.07,41.28
1631396946,41.07000,41.07,41.28
1631397010,41.07000,41.07,41.28
1631397075,41.07000,41.07,41.28
1631397139,41.07000,41.07,41.28
1631397202,41.07000,41.07,41.28
1631397267,41.07000,41.07,41.28
1631397331,41.07000,41.07,41.28
1631397395,41.07000,41.07,41.28
1631397459,41.07000,41.07,41.28
1631397523,41.07000,41.07,41.28
1631397587,41.07000,41.07,41.28
1631397651,41.07000,41.07,41.28
1631397715,41.07000,41.07,41.28
